_id,season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
5023,2017-2018,201742,10/21/2017,Bay Area,515,20611,2.5,31
5024,2017-2018,201742,10/21/2017,California,1474,81393,1.81,144
5025,2017-2018,201742,10/21/2017,Central,184,5000,3.68,9
5026,2017-2018,201742,10/21/2017,Lower Southern,520,32293,1.61,59
5027,2017-2018,201742,10/21/2017,Northern,225,18698,1.2,22
5028,2017-2018,201742,10/21/2017,Upper Southern,30,4791,0.63,23
5029,2017-2018,201743,10/28/2017,Bay Area,610,21275,2.87,33
5030,2017-2018,201743,10/28/2017,California,1551,82183,1.89,145
5031,2017-2018,201743,10/28/2017,Central,168,4925,3.41,9
5032,2017-2018,201743,10/28/2017,Lower Southern,504,32683,1.54,60
5033,2017-2018,201743,10/28/2017,Northern,249,19164,1.3,21
5034,2017-2018,201743,10/28/2017,Upper Southern,20,4136,0.48,22
5035,2017-2018,201744,11/4/2017,Bay Area,622,20366,3.05,34
5036,2017-2018,201744,11/4/2017,California,1510,75282,2.01,147
5037,2017-2018,201744,11/4/2017,Central,148,4547,3.25,9
5038,2017-2018,201744,11/4/2017,Lower Southern,491,31420,1.56,63
5039,2017-2018,201744,11/4/2017,Northern,226,14891,1.52,19
5040,2017-2018,201744,11/4/2017,Upper Southern,23,4058,0.57,22
5041,2017-2018,201745,11/11/2017,Bay Area,553,19960,2.77,32
5042,2017-2018,201745,11/11/2017,California,1564,77522,2.02,151
5043,2017-2018,201745,11/11/2017,Central,162,4711,3.44,12
5044,2017-2018,201745,11/11/2017,Lower Southern,561,31371,1.79,61
5045,2017-2018,201745,11/11/2017,Northern,258,17535,1.47,22
5046,2017-2018,201745,11/11/2017,Upper Southern,30,3945,0.76,24
5047,2017-2018,201746,11/18/2017,Bay Area,557,20296,2.74,34
5048,2017-2018,201746,11/18/2017,California,1672,79238,2.11,153
5049,2017-2018,201746,11/18/2017,Central,144,5021,2.87,12
5050,2017-2018,201746,11/18/2017,Lower Southern,672,32067,2.1,60
5051,2017-2018,201746,11/18/2017,Northern,272,17444,1.56,23
5052,2017-2018,201746,11/18/2017,Upper Southern,27,4410,0.61,24
5053,2017-2018,201747,11/25/2017,Bay Area,472,16753,2.82,33
5054,2017-2018,201747,11/25/2017,California,1517,65021,2.33,147
5055,2017-2018,201747,11/25/2017,Central,150,3971,3.78,10
5056,2017-2018,201747,11/25/2017,Lower Southern,639,27848,2.29,60
5057,2017-2018,201747,11/25/2017,Northern,238,14363,1.66,21
5058,2017-2018,201747,11/25/2017,Upper Southern,18,2086,0.86,23
5059,2017-2018,201748,12/2/2017,Bay Area,519,20391,2.55,32
5060,2017-2018,201748,12/2/2017,California,1614,79237,2.04,151
5061,2017-2018,201748,12/2/2017,Central,115,4930,2.33,12
5062,2017-2018,201748,12/2/2017,Lower Southern,742,31772,2.34,63
5063,2017-2018,201748,12/2/2017,Northern,214,17932,1.19,21
5064,2017-2018,201748,12/2/2017,Upper Southern,24,4212,0.57,23
5065,2017-2018,201749,12/9/2017,Bay Area,682,19377,3.52,34
5066,2017-2018,201749,12/9/2017,California,1959,77206,2.54,155
5067,2017-2018,201749,12/9/2017,Central,124,4657,2.66,12
5068,2017-2018,201749,12/9/2017,Lower Southern,848,31856,2.66,63
5069,2017-2018,201749,12/9/2017,Northern,282,17386,1.62,23
5070,2017-2018,201749,12/9/2017,Upper Southern,23,3930,0.59,23
5071,2017-2018,201750,12/16/2017,Bay Area,788,20334,3.88,34
5072,2017-2018,201750,12/16/2017,California,2661,78368,3.4,149
5073,2017-2018,201750,12/16/2017,Central,178,4851,3.67,11
5074,2017-2018,201750,12/16/2017,Lower Southern,1319,32324,4.08,61
5075,2017-2018,201750,12/16/2017,Northern,343,17172,2,21
5076,2017-2018,201750,12/16/2017,Upper Southern,33,3687,0.9,22
5077,2017-2018,201751,12/23/2017,Bay Area,929,19440,4.78,31
5078,2017-2018,201751,12/23/2017,California,3597,75714,4.75,144
5079,2017-2018,201751,12/23/2017,Central,255,4529,5.63,11
5080,2017-2018,201751,12/23/2017,Lower Southern,1884,32292,5.83,59
5081,2017-2018,201751,12/23/2017,Northern,477,16268,2.93,21
5082,2017-2018,201751,12/23/2017,Upper Southern,52,3185,1.63,22
5083,2017-2018,201752,12/30/2017,Bay Area,1205,18222,6.61,33
5084,2017-2018,201752,12/30/2017,California,5433,72357,7.51,145
5085,2017-2018,201752,12/30/2017,Central,428,4871,8.79,10
5086,2017-2018,201752,12/30/2017,Lower Southern,2981,32997,9.03,60
5087,2017-2018,201752,12/30/2017,Northern,739,15031,4.92,21
5088,2017-2018,201752,12/30/2017,Upper Southern,80,1236,6.47,21
5089,2017-2018,201801,1/6/2018,Bay Area,1142,11386,10.03,34
5090,2017-2018,201801,1/6/2018,California,5791,70590,8.2,145
5091,2017-2018,201801,1/6/2018,Central,502,5266,9.53,12
5092,2017-2018,201801,1/6/2018,Lower Southern,3084,34268,9,61
5093,2017-2018,201801,1/6/2018,Northern,978,17380,5.63,22
5094,2017-2018,201801,1/6/2018,Upper Southern,85,2290,3.71,16
5095,2017-2018,201802,1/13/2018,Bay Area,1266,22154,5.71,33
5096,2017-2018,201802,1/13/2018,California,5089,82326,6.18,150
5097,2017-2018,201802,1/13/2018,Central,439,5305,8.28,13
5098,2017-2018,201802,1/13/2018,Lower Southern,2386,32887,7.26,61
5099,2017-2018,201802,1/13/2018,Northern,882,18580,4.75,20
5100,2017-2018,201802,1/13/2018,Upper Southern,116,3400,3.41,23
5101,2017-2018,201803,1/20/2018,Bay Area,1222,22228,5.5,34
5102,2017-2018,201803,1/20/2018,California,4126,79979,5.16,151
5103,2017-2018,201803,1/20/2018,Central,385,5255,7.33,12
5104,2017-2018,201803,1/20/2018,Lower Southern,1638,31643,5.18,61
5105,2017-2018,201803,1/20/2018,Northern,797,17727,4.5,21
5106,2017-2018,201803,1/20/2018,Upper Southern,84,3126,2.69,23
5107,2017-2018,201804,1/27/2018,Bay Area,1193,21980,5.43,34
5108,2017-2018,201804,1/27/2018,California,4105,82004,5.01,149
5109,2017-2018,201804,1/27/2018,Central,362,5434,6.66,12
5110,2017-2018,201804,1/27/2018,Lower Southern,1676,32364,5.18,61
5111,2017-2018,201804,1/27/2018,Northern,788,18102,4.35,19
5112,2017-2018,201804,1/27/2018,Upper Southern,86,4124,2.09,23
5113,2017-2018,201805,2/3/2018,Bay Area,1314,22948,5.73,34
5114,2017-2018,201805,2/3/2018,California,4692,87397,5.37,148
5115,2017-2018,201805,2/3/2018,Central,431,5735,7.52,12
5116,2017-2018,201805,2/3/2018,Lower Southern,2005,35092,5.71,60
5117,2017-2018,201805,2/3/2018,Northern,837,19010,4.4,20
5118,2017-2018,201805,2/3/2018,Upper Southern,105,4612,2.28,22
5119,2017-2018,201806,2/10/2018,Bay Area,1230,22882,5.38,33
5120,2017-2018,201806,2/10/2018,California,4381,88000,4.98,148
5121,2017-2018,201806,2/10/2018,Central,410,5729,7.16,11
5122,2017-2018,201806,2/10/2018,Lower Southern,1848,35830,5.16,62
5123,2017-2018,201806,2/10/2018,Northern,810,19193,4.22,20
5124,2017-2018,201806,2/10/2018,Upper Southern,83,4366,1.9,22
5125,2017-2018,201807,2/17/2018,Bay Area,1135,21623,5.25,30
5126,2017-2018,201807,2/17/2018,California,3694,81379,4.54,139
5127,2017-2018,201807,2/17/2018,Central,333,4942,6.74,11
5128,2017-2018,201807,2/17/2018,Lower Southern,1519,32583,4.66,59
5129,2017-2018,201807,2/17/2018,Northern,655,18363,3.57,19
5130,2017-2018,201807,2/17/2018,Upper Southern,52,3868,1.34,20
5131,2017-2018,201808,2/24/2018,Bay Area,1010,19807,5.1,31
5132,2017-2018,201808,2/24/2018,California,3189,75721,4.21,146
5133,2017-2018,201808,2/24/2018,Central,300,4838,6.2,13
5134,2017-2018,201808,2/24/2018,Lower Southern,1236,30613,4.04,59
5135,2017-2018,201808,2/24/2018,Northern,582,16884,3.45,20
5136,2017-2018,201808,2/24/2018,Upper Southern,61,3579,1.7,23
5137,2017-2018,201809,3/3/2018,Bay Area,1091,21745,5.02,33
5138,2017-2018,201809,3/3/2018,California,3408,81133,4.2,147
5139,2017-2018,201809,3/3/2018,Central,328,4870,6.74,13
5140,2017-2018,201809,3/3/2018,Lower Southern,1293,32758,3.95,60
5141,2017-2018,201809,3/3/2018,Northern,626,18184,3.44,20
5142,2017-2018,201809,3/3/2018,Upper Southern,70,3576,1.96,21
5143,2017-2018,201810,3/10/2018,Bay Area,1050,23398,4.49,32
5144,2017-2018,201810,3/10/2018,California,3415,84621,4.04,145
5145,2017-2018,201810,3/10/2018,Central,383,5080,7.54,12
5146,2017-2018,201810,3/10/2018,Lower Southern,1303,34201,3.81,61
5147,2017-2018,201810,3/10/2018,Northern,603,18127,3.33,19
5148,2017-2018,201810,3/10/2018,Upper Southern,76,3815,1.99,21
5149,2017-2018,201811,3/17/2018,Bay Area,930,22774,4.08,32
5150,2017-2018,201811,3/17/2018,California,2992,82566,3.62,141
5151,2017-2018,201811,3/17/2018,Central,261,5088,5.13,13
5152,2017-2018,201811,3/17/2018,Lower Southern,1263,33281,3.79,57
5153,2017-2018,201811,3/17/2018,Northern,488,17726,2.75,19
5154,2017-2018,201811,3/17/2018,Upper Southern,50,3697,1.35,20
5155,2017-2018,201812,3/24/2018,Bay Area,835,21455,3.89,29
5156,2017-2018,201812,3/24/2018,California,2543,78547,3.24,134
5157,2017-2018,201812,3/24/2018,Central,213,4917,4.33,11
5158,2017-2018,201812,3/24/2018,Lower Southern,1064,32080,3.32,56
5159,2017-2018,201812,3/24/2018,Northern,385,16380,2.35,19
5160,2017-2018,201812,3/24/2018,Upper Southern,46,3715,1.24,19
5161,2017-2018,201813,3/31/2018,Bay Area,784,19073,4.11,29
5162,2017-2018,201813,3/31/2018,California,2063,71545,2.88,139
5163,2017-2018,201813,3/31/2018,Central,208,4393,4.73,13
5164,2017-2018,201813,3/31/2018,Lower Southern,741,29858,2.48,58
5165,2017-2018,201813,3/31/2018,Northern,312,15487,2.01,20
5166,2017-2018,201813,3/31/2018,Upper Southern,18,2734,0.66,19
5167,2017-2018,201814,4/7/2018,Bay Area,653,19591,3.33,30
5168,2017-2018,201814,4/7/2018,California,1858,75881,2.45,135
5169,2017-2018,201814,4/7/2018,Central,187,4616,4.05,10
5170,2017-2018,201814,4/7/2018,Lower Southern,731,30784,2.37,57
5171,2017-2018,201814,4/7/2018,Northern,266,17540,1.52,19
5172,2017-2018,201814,4/7/2018,Upper Southern,21,3350,0.63,19
5173,2017-2018,201815,4/14/2018,Bay Area,605,20904,2.89,30
5174,2017-2018,201815,4/14/2018,California,1441,78955,1.83,138
5175,2017-2018,201815,4/14/2018,Central,116,4777,2.43,11
5176,2017-2018,201815,4/14/2018,Lower Southern,516,32246,1.6,60
5177,2017-2018,201815,4/14/2018,Northern,188,17588,1.07,18
5178,2017-2018,201815,4/14/2018,Upper Southern,16,3440,0.47,19
5179,2017-2018,201816,4/21/2018,Bay Area,599,20510,2.92,29
5180,2017-2018,201816,4/21/2018,California,1380,76533,1.8,136
5181,2017-2018,201816,4/21/2018,Central,122,4774,2.56,12
5182,2017-2018,201816,4/21/2018,Lower Southern,460,30641,1.5,59
5183,2017-2018,201816,4/21/2018,Northern,183,17006,1.08,17
5184,2017-2018,201816,4/21/2018,Upper Southern,16,3602,0.44,19
5185,2017-2018,201817,4/28/2018,Bay Area,565,21182,2.67,31
5186,2017-2018,201817,4/28/2018,California,1450,78316,1.85,137
5187,2017-2018,201817,4/28/2018,Central,112,4885,2.29,12
5188,2017-2018,201817,4/28/2018,Lower Southern,564,31965,1.76,58
5189,2017-2018,201817,4/28/2018,Northern,202,16863,1.2,16
5190,2017-2018,201817,4/28/2018,Upper Southern,7,3421,0.2,20
5191,2017-2018,201818,5/5/2018,Bay Area,535,20406,2.62,29
5192,2017-2018,201818,5/5/2018,California,1362,75629,1.8,131
5193,2017-2018,201818,5/5/2018,Central,104,4441,2.34,9
5194,2017-2018,201818,5/5/2018,Lower Southern,506,30826,1.64,59
5195,2017-2018,201818,5/5/2018,Northern,203,16677,1.22,16
5196,2017-2018,201818,5/5/2018,Upper Southern,14,3279,0.43,18
5197,2017-2018,201819,5/12/2018,Bay Area,493,20217,2.44,27
5198,2017-2018,201819,5/12/2018,California,1275,75932,1.68,127
5199,2017-2018,201819,5/12/2018,Central,79,4651,1.7,9
5200,2017-2018,201819,5/12/2018,Lower Southern,535,31514,1.7,58
5201,2017-2018,201819,5/12/2018,Northern,157,16140,0.97,15
5202,2017-2018,201819,5/12/2018,Upper Southern,11,3410,0.32,18
5203,2017-2018,201820,5/19/2018,Bay Area,462,19251,2.4,28
5204,2017-2018,201820,5/19/2018,California,1110,73460,1.51,128
5205,2017-2018,201820,5/19/2018,Central,51,4445,1.15,9
5206,2017-2018,201820,5/19/2018,Lower Southern,419,30018,1.4,60
5207,2017-2018,201820,5/19/2018,Northern,168,16462,1.02,14
5208,2017-2018,201820,5/19/2018,Upper Southern,10,3284,0.3,17
5209,2017-2018,201821,5/26/2018,Bay Area,478,19188,2.49,25
5210,2017-2018,201821,5/26/2018,California,1078,69093,1.56,117
5211,2017-2018,201821,5/26/2018,Central,73,4099,1.78,8
5212,2017-2018,201821,5/26/2018,Lower Southern,404,30318,1.33,58
5213,2017-2018,201821,5/26/2018,Northern,118,13438,0.88,15
5214,2017-2018,201821,5/26/2018,Upper Southern,5,2050,0.24,11
5215,2017-2018,201822,6/2/2018,Bay Area,422,18210,2.32,27
5216,2017-2018,201822,6/2/2018,California,987,65575,1.51,117
5217,2017-2018,201822,6/2/2018,Central,64,3997,1.6,8
5218,2017-2018,201822,6/2/2018,Lower Southern,360,27324,1.32,54
5219,2017-2018,201822,6/2/2018,Northern,133,14380,0.92,16
5220,2017-2018,201822,6/2/2018,Upper Southern,8,1664,0.48,12
5221,2017-2018,201823,6/9/2018,Bay Area,388,19485,1.99,26
5222,2017-2018,201823,6/9/2018,California,946,70340,1.34,117
5223,2017-2018,201823,6/9/2018,Central,60,4073,1.47,9
5224,2017-2018,201823,6/9/2018,Lower Southern,379,29270,1.29,55
5225,2017-2018,201823,6/9/2018,Northern,113,15425,0.73,15
5226,2017-2018,201823,6/9/2018,Upper Southern,6,2087,0.29,12
5227,2017-2018,201824,6/16/2018,Bay Area,368,18491,1.99,26
5228,2017-2018,201824,6/16/2018,California,904,68865,1.31,116
5229,2017-2018,201824,6/16/2018,Central,71,3944,1.8,8
5230,2017-2018,201824,6/16/2018,Lower Southern,342,29257,1.17,55
5231,2017-2018,201824,6/16/2018,Northern,118,15068,0.78,15
5232,2017-2018,201824,6/16/2018,Upper Southern,5,2105,0.24,12
5233,2017-2018,201825,6/23/2018,Bay Area,386,17818,2.17,24
5234,2017-2018,201825,6/23/2018,California,848,59040,1.44,108
5235,2017-2018,201825,6/23/2018,Central,54,4113,1.31,9
5236,2017-2018,201825,6/23/2018,Lower Southern,309,21075,1.47,48
5237,2017-2018,201825,6/23/2018,Northern,93,14228,0.65,15
5238,2017-2018,201825,6/23/2018,Upper Southern,6,1806,0.33,12
5239,2017-2018,201826,6/30/2018,Bay Area,402,17701,2.27,27
5240,2017-2018,201826,6/30/2018,California,798,59370,1.34,111
5241,2017-2018,201826,6/30/2018,Central,55,3798,1.45,7
5242,2017-2018,201826,6/30/2018,Lower Southern,248,21350,1.16,49
5243,2017-2018,201826,6/30/2018,Northern,91,14432,0.63,15
5244,2017-2018,201826,6/30/2018,Upper Southern,2,2089,0.1,13
5245,2017-2018,201827,7/7/2018,Bay Area,296,16476,1.8,26
5246,2017-2018,201827,7/7/2018,California,645,62299,1.04,116
5247,2017-2018,201827,7/7/2018,Central,38,3892,0.98,8
5248,2017-2018,201827,7/7/2018,Lower Southern,222,26711,0.83,54
5249,2017-2018,201827,7/7/2018,Northern,86,13569,0.63,15
5250,2017-2018,201827,7/7/2018,Upper Southern,3,1651,0.18,13
5251,2017-2018,201828,7/14/2018,Bay Area,273,18087,1.51,26
5252,2017-2018,201828,7/14/2018,California,633,68938,0.92,119
5253,2017-2018,201828,7/14/2018,Central,57,4444,1.28,10
5254,2017-2018,201828,7/14/2018,Lower Southern,220,29387,0.75,55
5255,2017-2018,201828,7/14/2018,Northern,80,14784,0.54,15
5256,2017-2018,201828,7/14/2018,Upper Southern,3,2236,0.13,13
5257,2017-2018,201829,7/21/2018,Bay Area,262,18298,1.43,27
5258,2017-2018,201829,7/21/2018,California,591,67303,0.88,120
5259,2017-2018,201829,7/21/2018,Central,45,4452,1.01,10
5260,2017-2018,201829,7/21/2018,Lower Southern,222,28654,0.77,55
5261,2017-2018,201829,7/21/2018,Northern,58,13680,0.42,15
5262,2017-2018,201829,7/21/2018,Upper Southern,4,2219,0.18,13
5263,2017-2018,201830,7/28/2018,Bay Area,269,18415,1.46,25
5264,2017-2018,201830,7/28/2018,California,563,68376,0.82,117
5265,2017-2018,201830,7/28/2018,Central,38,4300,0.88,10
5266,2017-2018,201830,7/28/2018,Lower Southern,194,29151,0.67,54
5267,2017-2018,201830,7/28/2018,Northern,60,14225,0.42,15
5268,2017-2018,201830,7/28/2018,Upper Southern,2,2285,0.09,13
5269,2017-2018,201831,8/4/2018,Bay Area,245,17356,1.41,21
5270,2017-2018,201831,8/4/2018,California,572,67272,0.85,109
5271,2017-2018,201831,8/4/2018,Central,37,4384,0.84,9
5272,2017-2018,201831,8/4/2018,Lower Southern,222,29657,0.75,53
5273,2017-2018,201831,8/4/2018,Northern,62,13651,0.45,15
5274,2017-2018,201831,8/4/2018,Upper Southern,6,2224,0.27,11
5275,2017-2018,201832,8/11/2018,Bay Area,277,17478,1.58,26
5276,2017-2018,201832,8/11/2018,California,620,68082,0.91,114
5277,2017-2018,201832,8/11/2018,Central,48,4239,1.13,8
5278,2017-2018,201832,8/11/2018,Lower Southern,204,30006,0.68,54
5279,2017-2018,201832,8/11/2018,Northern,88,14261,0.62,14
5280,2017-2018,201832,8/11/2018,Upper Southern,3,2098,0.14,12
5281,2017-2018,201833,8/18/2018,Bay Area,268,18219,1.47,25
5282,2017-2018,201833,8/18/2018,California,601,68591,0.88,111
5283,2017-2018,201833,8/18/2018,Central,38,4560,0.83,9
5284,2017-2018,201833,8/18/2018,Lower Southern,235,29038,0.81,49
5285,2017-2018,201833,8/18/2018,Northern,57,14537,0.39,16
5286,2017-2018,201833,8/18/2018,Upper Southern,3,2237,0.13,12
5287,2017-2018,201834,8/25/2018,Bay Area,298,19224,1.55,24
5288,2017-2018,201834,8/25/2018,California,586,67199,0.87,99
5289,2017-2018,201834,8/25/2018,Central,79,4718,1.67,8
5290,2017-2018,201834,8/25/2018,Lower Southern,136,25757,0.53,39
5291,2017-2018,201834,8/25/2018,Northern,64,15109,0.42,16
5292,2017-2018,201834,8/25/2018,Upper Southern,9,2391,0.38,12
5293,2017-2018,201835,9/1/2018,Bay Area,347,20218,1.72,26
5294,2017-2018,201835,9/1/2018,California,799,70844,1.13,102
5295,2017-2018,201835,9/1/2018,Central,109,4813,2.26,8
5296,2017-2018,201835,9/1/2018,Lower Southern,234,27588,0.85,40
5297,2017-2018,201835,9/1/2018,Northern,101,15386,0.66,16
5298,2017-2018,201835,9/1/2018,Upper Southern,8,2839,0.28,12
5299,2017-2018,201836,9/8/2018,Bay Area,415,18083,2.29,24
5300,2017-2018,201836,9/8/2018,California,840,66778,1.26,98
5301,2017-2018,201836,9/8/2018,Central,73,4811,1.52,8
5302,2017-2018,201836,9/8/2018,Lower Southern,228,26888,0.85,39
5303,2017-2018,201836,9/8/2018,Northern,103,14802,0.7,16
5304,2017-2018,201836,9/8/2018,Upper Southern,21,2194,0.96,11
5305,2017-2018,201837,9/15/2018,Bay Area,430,19398,2.22,24
5306,2017-2018,201837,9/15/2018,California,986,69739,1.41,103
5307,2017-2018,201837,9/15/2018,Central,82,4998,1.64,9
5308,2017-2018,201837,9/15/2018,Lower Southern,368,30506,1.21,47
5309,2017-2018,201837,9/15/2018,Northern,99,12499,0.79,13
5310,2017-2018,201837,9/15/2018,Upper Southern,7,2338,0.3,10
5311,2017-2018,201838,9/22/2018,Bay Area,352,17451,2.02,21
5312,2017-2018,201838,9/22/2018,California,885,67318,1.31,101
5313,2017-2018,201838,9/22/2018,Central,75,4736,1.58,9
5314,2017-2018,201838,9/22/2018,Lower Southern,353,30612,1.15,48
5315,2017-2018,201838,9/22/2018,Northern,85,11738,0.72,14
5316,2017-2018,201838,9/22/2018,Upper Southern,20,2781,0.72,9
5317,2017-2018,201839,9/29/2018,Bay Area,323,18462,1.75,21
5318,2017-2018,201839,9/29/2018,California,898,67307,1.33,96
5319,2017-2018,201839,9/29/2018,Central,65,4185,1.55,7
5320,2017-2018,201839,9/29/2018,Lower Southern,395,30292,1.3,46
5321,2017-2018,201839,9/29/2018,Northern,110,11865,0.93,14
5322,2017-2018,201839,9/29/2018,Upper Southern,5,2503,0.2,8
5323,2018-2019,201840,10/6/2018,Bay Area,452,20879,2.16,30
5324,2018-2019,201840,10/6/2018,California,1069,73094,1.46,132
5325,2018-2019,201840,10/6/2018,Central,64,4835,1.32,11
5326,2018-2019,201840,10/6/2018,Lower Southern,441,31036,1.42,53
5327,2018-2019,201840,10/6/2018,Northern,96,12408,0.77,17
5328,2018-2019,201840,10/6/2018,Upper Southern,16,3936,0.41,21
5329,2018-2019,201841,10/13/2018,Bay Area,406,20526,1.98,30
5330,2018-2019,201841,10/13/2018,California,988,74765,1.32,133
5331,2018-2019,201841,10/13/2018,Central,87,4696,1.85,11
5332,2018-2019,201841,10/13/2018,Lower Southern,340,29977,1.13,53
5333,2018-2019,201841,10/13/2018,Northern,132,14373,0.92,16
5334,2018-2019,201841,10/13/2018,Upper Southern,23,5193,0.44,23
5335,2018-2019,201842,10/20/2018,Bay Area,444,20635,2.15,29
5336,2018-2019,201842,10/20/2018,California,1167,76544,1.52,131
5337,2018-2019,201842,10/20/2018,Central,103,4943,2.08,10
5338,2018-2019,201842,10/20/2018,Lower Southern,439,30347,1.45,52
5339,2018-2019,201842,10/20/2018,Northern,151,15143,1,18
5340,2018-2019,201842,10/20/2018,Upper Southern,30,5476,0.55,22
5341,2018-2019,201843,10/27/2018,Bay Area,517,21091,2.45,29
5342,2018-2019,201843,10/27/2018,California,1296,75972,1.71,130
5343,2018-2019,201843,10/27/2018,Central,129,4760,2.71,9
5344,2018-2019,201843,10/27/2018,Lower Southern,465,30049,1.55,53
5345,2018-2019,201843,10/27/2018,Northern,159,15533,1.02,19
5346,2018-2019,201843,10/27/2018,Upper Southern,26,4539,0.57,20
5347,2018-2019,201844,11/3/2018,Bay Area,574,21515,2.67,31
5348,2018-2019,201844,11/3/2018,California,1413,77907,1.81,141
5349,2018-2019,201844,11/3/2018,Central,137,4964,2.76,14
5350,2018-2019,201844,11/3/2018,Lower Southern,503,31050,1.62,57
5351,2018-2019,201844,11/3/2018,Northern,172,15108,1.14,18
5352,2018-2019,201844,11/3/2018,Upper Southern,27,5270,0.51,21
5353,2018-2019,201845,11/10/2018,Bay Area,595,20815,2.86,32
5354,2018-2019,201845,11/10/2018,California,1528,78083,1.96,146
5355,2018-2019,201845,11/10/2018,Central,125,5119,2.44,14
5356,2018-2019,201845,11/10/2018,Lower Southern,628,32681,1.92,60
5357,2018-2019,201845,11/10/2018,Northern,148,14298,1.04,19
5358,2018-2019,201845,11/10/2018,Upper Southern,32,5170,0.62,21
5359,2018-2019,201846,11/17/2018,Bay Area,672,20915,3.21,33
5360,2018-2019,201846,11/17/2018,California,1624,73987,2.19,143
5361,2018-2019,201846,11/17/2018,Central,127,4503,2.82,12
5362,2018-2019,201846,11/17/2018,Lower Southern,610,30953,1.97,58
5363,2018-2019,201846,11/17/2018,Northern,194,13011,1.49,19
5364,2018-2019,201846,11/17/2018,Upper Southern,21,4605,0.46,21
5365,2018-2019,201847,11/24/2018,Bay Area,522,16982,3.07,33
5366,2018-2019,201847,11/24/2018,California,1575,64144,2.46,143
5367,2018-2019,201847,11/24/2018,Central,153,4236,3.61,14
5368,2018-2019,201847,11/24/2018,Lower Southern,641,28905,2.22,58
5369,2018-2019,201847,11/24/2018,Northern,239,11346,2.11,17
5370,2018-2019,201847,11/24/2018,Upper Southern,20,2675,0.75,21
5371,2018-2019,201848,12/1/2018,Bay Area,747,22422,3.33,32
5372,2018-2019,201848,12/1/2018,California,1955,80003,2.44,142
5373,2018-2019,201848,12/1/2018,Central,166,4731,3.51,14
5374,2018-2019,201848,12/1/2018,Lower Southern,757,33609,2.25,57
5375,2018-2019,201848,12/1/2018,Northern,246,14421,1.71,17
5376,2018-2019,201848,12/1/2018,Upper Southern,39,4820,0.81,22
5377,2018-2019,201849,12/8/2018,Bay Area,761,20030,3.8,29
5378,2018-2019,201849,12/8/2018,California,1901,75874,2.51,142
5379,2018-2019,201849,12/8/2018,Central,157,4805,3.27,14
5380,2018-2019,201849,12/8/2018,Lower Southern,760,32267,2.36,60
5381,2018-2019,201849,12/8/2018,Northern,182,13717,1.33,18
5382,2018-2019,201849,12/8/2018,Upper Southern,41,5055,0.81,21
5383,2018-2019,201850,12/15/2018,Bay Area,808,21056,3.84,31
5384,2018-2019,201850,12/15/2018,California,2261,76506,2.96,143
5385,2018-2019,201850,12/15/2018,Central,247,4902,5.04,14
5386,2018-2019,201850,12/15/2018,Lower Southern,923,32383,2.85,59
5387,2018-2019,201850,12/15/2018,Northern,258,14012,1.84,18
5388,2018-2019,201850,12/15/2018,Upper Southern,25,4153,0.6,21
5389,2018-2019,201851,12/22/2018,Bay Area,810,19863,4.08,30
5390,2018-2019,201851,12/22/2018,California,2373,71613,3.31,135
5391,2018-2019,201851,12/22/2018,Central,260,4380,5.94,11
5392,2018-2019,201851,12/22/2018,Lower Southern,974,30815,3.16,57
5393,2018-2019,201851,12/22/2018,Northern,283,13288,2.13,17
5394,2018-2019,201851,12/22/2018,Upper Southern,46,3267,1.41,20
5395,2018-2019,201852,12/29/2018,Bay Area,640,14548,4.4,29
5396,2018-2019,201852,12/29/2018,California,2330,59205,3.94,133
5397,2018-2019,201852,12/29/2018,Central,282,4071,6.93,12
5398,2018-2019,201852,12/29/2018,Lower Southern,1012,27213,3.72,56
5399,2018-2019,201852,12/29/2018,Northern,364,12053,3.02,17
5400,2018-2019,201852,12/29/2018,Upper Southern,32,1320,2.42,19
5401,2018-2019,201901,1/5/2019,Bay Area,709,14246,4.98,33
5402,2018-2019,201901,1/5/2019,California,2435,61766,3.94,141
5403,2018-2019,201901,1/5/2019,Central,231,4282,5.39,14
5404,2018-2019,201901,1/5/2019,Lower Southern,1068,29240,3.65,58
5405,2018-2019,201901,1/5/2019,Northern,411,12242,3.36,17
5406,2018-2019,201901,1/5/2019,Upper Southern,16,1756,0.91,19
5407,2018-2019,201902,1/12/2019,Bay Area,826,20636,4,31
5408,2018-2019,201902,1/12/2019,California,2656,76481,3.47,143
5409,2018-2019,201902,1/12/2019,Central,213,5197,4.1,14
5410,2018-2019,201902,1/12/2019,Lower Southern,1136,32923,3.45,59
5411,2018-2019,201902,1/12/2019,Northern,396,13466,2.94,18
5412,2018-2019,201902,1/12/2019,Upper Southern,85,4259,2,21
5413,2018-2019,201903,1/19/2019,Bay Area,838,21165,3.96,33
5414,2018-2019,201903,1/19/2019,California,2449,76922,3.18,145
5415,2018-2019,201903,1/19/2019,Central,170,5013,3.39,14
5416,2018-2019,201903,1/19/2019,Lower Southern,960,32452,2.96,60
5417,2018-2019,201903,1/19/2019,Northern,403,13814,2.92,18
5418,2018-2019,201903,1/19/2019,Upper Southern,78,4478,1.74,20
5419,2018-2019,201904,1/26/2019,Bay Area,749,20630,3.63,30
5420,2018-2019,201904,1/26/2019,California,2461,77252,3.19,146
